Timestamp,Type,SourceAddr,SenderAddr,Value_Seq_or_Tx,RSSI,HopCount,Rx_Count_Measured,PDR_Percent
17:15:37.695,DATA,0x0004,0x0004,38,-69,1,,
17:15:37.729,DATA,0x0003,0x0003,38,-64,1,,
17:15:38.708,DATA,0x0005,0x0005,39,-63,1,,
17:15:38.729,DATA,0x0003,0x0003,39,-65,1,,
17:15:38.755,DATA,0x0004,0x0004,39,-73,1,,
17:15:39.656,DATA,0x0003,0x0003,40,-64,1,,
17:15:39.704,DATA,0x0004,0x0004,40,-69,1,,
17:15:39.869,DATA,0x0005,0x0005,40,-64,1,,
17:15:40.670,DATA,0x0005,0x0005,41,-83,1,,
17:15:40.715,DATA,0x0003,0x0003,41,-65,1,,
17:15:40.730,DATA,0x0004,0x0004,41,-68,1,,
17:15:41.659,DATA,0x0005,0x0005,42,-66,1,,
17:15:41.709,DATA,0x0004,0x0004,42,-75,1,,
17:15:41.722,DATA,0x0003,0x0003,42,-65,1,,
17:15:42.682,DATA,0x0003,0x0003,43,-62,1,,
17:15:42.695,DATA,0x0005,0x0005,43,-64,1,,
17:15:42.722,DATA,0x0004,0x0004,43,-78,1,,
17:15:43.667,DATA,0x0005,0x0005,44,-65,1,,
17:15:43.710,DATA,0x0004,0x0004,44,-71,1,,
17:15:43.723,DATA,0x0003,0x0003,44,-68,1,,
17:15:44.695,DATA,0x0004,0x0004,45,-69,1,,
17:15:44.709,DATA,0x0003,0x0003,45,-70,1,,
17:15:44.731,DATA,0x0005,0x0005,45,-80,1,,
17:15:45.666,DATA,0x0003,0x0003,46,-68,1,,
17:15:45.712,DATA,0x0005,0x0005,46,-82,1,,
17:15:45.725,DATA,0x0004,0x0004,46,-69,1,,
17:15:46.691,DATA,0x0003,0x0003,47,-65,1,,
17:15:46.711,DATA,0x0005,0x0005,47,-82,1,,
17:15:46.734,DATA,0x0004,0x0004,47,-71,1,,
17:15:47.669,DATA,0x0003,0x0003,48,-66,1,,
17:15:47.714,DATA,0x0004,0x0004,48,-69,1,,
17:15:47.731,DATA,0x0005,0x0005,48,-81,1,,
17:15:48.661,DATA,0x0003,0x0003,49,-65,1,,
17:15:48.703,DATA,0x0005,0x0005,49,-71,1,,
17:15:48.732,DATA,0x0004,0x0004,49,-67,1,,
17:15:49.694,DATA,0x0004,0x0004,50,-72,1,,
17:15:49.712,DATA,0x0005,0x0005,50,-72,1,,
17:15:49.729,DATA,0x0003,0x0003,50,-64,1,,
