Timestamp,Type,SourceAddr,SenderAddr,Value_Seq_or_Tx,RSSI,Rx_Count_Measured,PDR_Percent
15:35:58.122,DATA,0x00d4,0x00d4,33,-47,,
15:35:58.134,DATA,0x00d3,0x00d3,33,-55,,
15:35:59.096,DATA,0x00d3,0x00d3,34,-54,,
15:35:59.141,DATA,0x00d4,0x00d4,34,-46,,
15:36:00.105,DATA,0x00d4,0x00d4,35,-47,,
15:36:00.139,DATA,0x00d3,0x00d3,35,-55,,
15:36:01.126,DATA,0x00d4,0x00d4,36,-47,,
15:36:01.150,DATA,0x00d3,0x00d3,36,-55,,
15:36:02.106,DATA,0x00d3,0x00d3,37,-55,,
15:36:02.136,DATA,0x00d4,0x00d4,37,-46,,
15:36:03.154,DATA,0x00d4,0x00d4,38,-46,,
15:36:03.170,DATA,0x00d3,0x00d3,38,-61,,
15:36:04.123,DATA,0x00d4,0x00d4,39,-46,,
15:36:04.140,DATA,0x00d3,0x00d3,39,-58,,
15:36:05.125,DATA,0x00d4,0x00d4,40,-46,,
15:36:05.135,DATA,0x00d3,0x00d3,40,-58,,
15:36:06.125,DATA,0x00d3,0x00d3,41,-61,,
15:36:06.139,DATA,0x00d4,0x00d4,41,-49,,
15:36:07.148,DATA,0x00d3,0x00d3,42,-55,,
15:36:07.160,DATA,0x00d4,0x00d4,42,-47,,
15:36:08.113,DATA,0x00d4,0x00d4,43,-47,,
15:36:08.148,DATA,0x00d3,0x00d3,43,-55,,
15:36:09.125,DATA,0x00d4,0x00d4,44,-47,,
15:36:09.137,DATA,0x00d3,0x00d3,44,-55,,
15:36:10.129,DATA,0x00d3,0x00d3,45,-55,,
15:36:10.145,DATA,0x00d4,0x00d4,45,-47,,
15:36:11.116,DATA,0x00d4,0x00d4,46,-47,,
15:36:11.154,DATA,0x00d3,0x00d3,46,-57,,
15:36:12.130,DATA,0x00d4,0x00d4,47,-46,,
15:36:12.146,DATA,0x00d3,0x00d3,47,-57,,
15:36:13.128,DATA,0x00d4,0x00d4,48,-46,,
15:36:13.138,DATA,0x00d3,0x00d3,48,-58,,
15:36:14.111,DATA,0x00d4,0x00d4,49,-46,,
15:36:14.143,DATA,0x00d3,0x00d3,49,-61,,
15:36:15.134,DATA,0x00d4,0x00d4,50,-49,,
15:36:15.148,DATA,0x00d3,0x00d3,50,-61,,
15:36:16.135,DATA,0x00d4,0x00d4,51,-49,,
15:36:16.145,DATA,0x00d3,0x00d3,51,-61,,
15:36:17.131,DATA,0x00d4,0x00d4,52,-47,,
15:36:17.140,DATA,0x00d3,0x00d3,52,-55,,
15:36:18.135,DATA,0x00d4,0x00d4,53,-47,,
15:36:18.151,DATA,0x00d3,0x00d3,53,-55,,
15:36:19.133,DATA,0x00d3,0x00d3,54,-55,,
15:36:19.149,DATA,0x00d4,0x00d4,54,-47,,
15:36:20.123,DATA,0x00d4,0x00d4,55,-46,,
15:36:20.326,DATA,0x00d3,0x00d3,55,-61,,
15:36:21.133,DATA,0x00d4,0x00d4,56,-46,,
15:36:21.149,DATA,0x00d3,0x00d3,56,-58,,
15:36:22.142,DATA,0x00d3,0x00d3,57,-57,,
15:36:22.160,DATA,0x00d4,0x00d4,57,-46,,
15:36:23.137,DATA,0x00d4,0x00d4,58,-49,,
15:36:23.146,DATA,0x00d3,0x00d3,58,-61,,
15:36:24.115,DATA,0x00d3,0x00d3,59,-61,,
15:36:24.154,DATA,0x00d4,0x00d4,59,-49,,
15:36:25.079,EVENT,TEST_STOP,Finished,,,,
15:36:25.121,DATA,0x00d4,0x00d4,60,-49,,
15:36:25.157,DATA,0x00d3,0x00d3,60,-55,,
15:36:26.141,DATA,0x00d4,0x00d4,61,-47,,
15:36:26.162,DATA,0x00d3,0x00d3,61,-54,,
15:36:26.695,RESULT,0x00d3,0x00d5,61,-58,50,81.97
15:36:26.711,RESULT,0x00d4,0x00d5,61,-49,61,100.00
